timestamp,Impressions,Engagements,ProfileVisits,Follows,Replies,Likes,Retweets,Bookmark,Share,MediaViews,VideoViews
2026-02-20T11:00:00Z,915,90,6,1,0,2,0,0,0,48,0
2026-02-20T12:00:00Z,726,77,2,0,0,0,0,2,0,49,0
2026-02-20T13:00:00Z,272,32,2,0,0,0,0,0,0,14,0
2026-02-20T14:00:00Z,92,12,0,0,0,0,0,0,0,4,0
2026-02-20T15:00:00Z,57,2,0,0,0,0,0,0,0,2,0
2026-02-20T16:00:00Z,65,2,0,0,0,0,0,0,0,2,0
2026-02-20T17:00:00Z,74,2,1,0,0,0,0,0,0,1,0
2026-02-20T18:00:00Z,47,6,0,0,0,1,0,0,0,2,0
2026-02-20T19:00:00Z,19,5,0,0,0,0,0,0,0,0,0
2026-02-20T20:00:00Z,20,1,0,0,0,0,0,0,0,1,0
2026-02-20T21:00:00Z,16,6,0,0,0,0,0,0,0,2,0
2026-02-20T22:00:00Z,13,3,0,0,0,0,0,0,0,3,0
2026-02-20T23:00:00Z,17,0,0,0,0,0,0,0,0,0,0
2026-02-21T00:00:00Z,17,2,1,0,0,0,0,0,0,1,0
2026-02-21T01:00:00Z,13,0,0,0,0,0,0,0,0,0,0
2026-02-21T02:00:00Z,15,3,0,0,0,0,0,0,0,3,0
2026-02-21T03:00:00Z,10,0,0,0,0,0,0,0,0,0,0
2026-02-21T04:00:00Z,19,0,0,0,0,0,0,0,0,0,0
2026-02-21T05:00:00Z,11,0,0,0,0,0,0,0,0,0,0
2026-02-21T06:00:00Z,9,0,0,0,0,0,0,0,0,0,0
2026-02-21T07:00:00Z,5,0,0,0,0,0,0,0,0,0,0
2026-02-21T08:00:00Z,5,0,0,0,0,0,0,0,0,0,0
2026-02-21T09:00:00Z,7,2,0,0,0,0,0,0,0,0,0
2026-02-21T10:00:00Z,3,0,0,0,0,0,0,0,0,0,0
2026-02-21T11:00:00Z,6,0,0,0,0,0,0,0,0,0,0
2026-02-21T12:00:00Z,3,0,0,0,0,0,0,0,0,0,0
2026-02-21T14:00:00Z,1,0,0,0,0,0,0,0,0,0,0
2026-02-21T15:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-21T17:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-21T18:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-21T19:00:00Z,4,0,0,0,0,0,0,0,0,0,0
2026-02-21T22:00:00Z,1,0,0,0,0,0,0,0,0,0,0
