timestamp,Impressions,Engagements,ProfileVisits,Follows,Replies,Likes,Retweets,Bookmark,Share,MediaViews,VideoViews
2026-02-20T21:00:00Z,217,1,0,0,0,0,0,0,0,62,0
2026-02-20T22:00:00Z,124,0,0,0,0,0,0,0,0,36,0
2026-02-20T23:00:00Z,61,0,0,0,0,0,0,0,0,8,0
2026-02-21T00:00:00Z,34,0,0,0,0,0,0,0,0,8,0
2026-02-21T01:00:00Z,29,0,0,0,0,0,0,0,0,12,0
2026-02-21T02:00:00Z,20,2,0,0,0,0,0,0,0,6,0
2026-02-21T03:00:00Z,26,3,1,0,0,0,0,1,0,11,0
2026-02-21T04:00:00Z,14,0,0,0,0,0,0,0,0,0,0
2026-02-21T05:00:00Z,11,0,0,0,0,0,0,0,0,5,0
2026-02-21T06:00:00Z,9,1,0,0,0,0,0,0,0,1,0
2026-02-21T07:00:00Z,6,0,0,0,0,0,0,0,0,0,0
2026-02-21T08:00:00Z,5,0,0,0,0,0,0,0,0,4,0
2026-02-21T09:00:00Z,2,0,0,0,0,0,0,0,0,1,0
2026-02-21T10:00:00Z,2,0,0,0,0,0,0,0,0,1,0
2026-02-21T12:00:00Z,5,0,0,0,0,0,0,0,0,2,0
2026-02-21T13:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-21T14:00:00Z,7,0,0,0,0,0,0,0,0,3,0
2026-02-21T15:00:00Z,4,0,0,0,0,0,0,0,0,2,0
2026-02-21T16:00:00Z,3,0,0,0,0,0,0,0,0,3,0
2026-02-21T17:00:00Z,4,0,0,0,0,0,0,0,0,1,0
2026-02-21T18:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-21T19:00:00Z,2,0,0,0,0,0,0,0,0,1,0
2026-02-21T21:00:00Z,1,0,0,0,0,0,0,0,0,0,0
2026-02-21T22:00:00Z,3,0,0,0,0,0,0,0,0,1,0
2026-02-21T23:00:00Z,2,0,0,0,0,0,0,0,0,1,0
